Title,Title_link,name,index,count,mark-neww,Price
Intel Core i7-9700K @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700K+%40+3.60GHz&id=3335,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700K+%40+3.60GHz&id=3335,(42.1%),45.7,"14,546",$317.99
Intel Xeon E-2236 @ 3.40GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E-2236+%40+3.40GHz&id=3607,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E-2236+%40+3.40GHz&id=3607,(41.7%),45.3,"14,332",$316.66
Intel Core i5-9600 @ 3.10GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600+%40+3.10GHz&id=3554,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600+%40+3.10GHz&id=3554,(41.3%),44.8,"10,589",$236.24
AMD Ryzen 9 5950X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5950X&id=3862,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5950X&id=3862,(41.2%),44.8,"46,080","$1,029.49"
AMD Ryzen 5 PRO 4650G,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+PRO+4650G&id=3795,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+PRO+4650G&id=3795,(41.1%),44.7,"16,523",$369.99
AMD Ryzen 9 3900XT,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900XT&id=3778,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900XT&id=3778,(40.9%),44.4,"32,983",$742.98
AMD Ryzen 5 2400G,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+2400G&id=3183,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+2400G&id=3183,(40.5%),44.0,"8,733",$198.48
Intel Xeon E5-2623 v4 @ 2.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2623+v4+%40+2.60GHz&id=2808,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2623+v4+%40+2.60GHz&id=2808,(40.5%),43.9,"7,469",$169.99
Intel Core i7-9800X @ 3.80GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9800X+%40+3.80GHz&id=3374,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9800X+%40+3.80GHz&id=3374,(40.2%),43.7,"18,405",$421.35
Intel Xeon E-2136 @ 3.30GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E-2136+%40+3.30GHz&id=3363,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E-2136+%40+3.30GHz&id=3363,(40.0%),43.4,"13,506",$310.99
Intel Core i5-8600K @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8600K+%40+3.60GHz&id=3100,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8600K+%40+3.60GHz&id=3100,(39.4%),42.8,"10,145",$236.99
AMD Ryzen 3 2200G,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+2200G&id=3186,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+2200G&id=3186,(38.9%),42.3,"6,766",$159.99
